PublicationDate,countryName,reportingYear,Pollutant,Releases
12/15/2025,Greece,2011,Non-methane volatile organic compounds (NMVOC),4874000
12/15/2025,France,2007,Ammonia (NH3),18378700
12/15/2025,Germany,2024,Sulphur hexafluoride (SF6),391
12/15/2025,Germany,2023,Carbon dioxide (CO2) excluding biomass,43942965701
12/15/2025,United Kingdom,2019,Perfluorocarbons (PFCs),24450
12/15/2025,Sweden,2012,"1,2-dichloroethane (DCE-1,2)",30400
12/15/2025,Malta,2013,Arsenic and compounds (as As),76
12/15/2025,Italy,2023,Zinc and compounds (as Zn),43006.5798
12/15/2025,Italy,2010,Polychlorinated biphenyls (PCBs),29.275
12/15/2025,United Kingdom,2019,"1,2-dichloroethane (DCE-1,2)",368260
12/15/2025,Germany,2019,Ammonia (NH3),16067100
12/15/2025,Poland,2013,Nickel and compounds (as Ni),8710.3
12/15/2025,Germany,2011,Benzene,257010
12/15/2025,United Kingdom,2016,Carbon monoxide (CO),279124000
12/15/2025,Sweden,2021,Hydro-fluorocarbons (HFCS),2263
12/15/2025,United Kingdom,2018,Nitrous oxide (N2O),2730400
12/15/2025,Slovakia,2020,Chromium and compounds (as Cr),362
12/15/2025,Switzerland,2016,Nitrous oxide (N2O),103800
12/15/2025,Estonia,2013,Carbon dioxide (CO2) excluding biomass,14835000000
12/15/2025,Ireland,2009,Arsenic and compounds (as As),58.9
12/15/2025,Belgium,2012,"1,1,1-trichloroethane (TCE-1,1,1)",144
12/15/2025,Germany,2023,Mercury and compounds (as Hg),3337.2
12/15/2025,Spain,2007,Nickel and compounds (as Ni),81557.8
12/15/2025,Italy,2008,Hydro-fluorocarbons (HFCS),58299
12/15/2025,United Kingdom,2016,Polycyclic aromatic hydrocarbons (PAHs),1002
12/15/2025,Germany,2021,Arsenic and compounds (as As),1405.1
12/15/2025,Germany,2012,Copper and compounds (as Cu),15741
12/15/2025,Italy,2007,Polycyclic aromatic hydrocarbons (PAHs),1743.9
12/15/2025,Germany,2023,Chlorine and inorganic compounds (as HCl),1331700
12/15/2025,Denmark,2024,Zinc and compounds (as Zn),1486.4
12/15/2025,Sweden,2012,Naphthalene,500
12/15/2025,Poland,2012,Halons,1
12/15/2025,Greece,2014,Copper and compounds (as Cu),5019
12/15/2025,Serbia,2012,Ammonia (NH3),752000
12/15/2025,Austria,2024,PCDD + PCDF (dioxins + furans) (as Teq),0.000469
12/15/2025,Spain,2019,Dichloromethane (DCM),306960
12/15/2025,Romania,2015,Ammonia (NH3),20723700
12/15/2025,Netherlands,2009,Polycyclic aromatic hydrocarbons (PAHs),61
12/15/2025,Portugal,2008,Cadmium and compounds (as Cd),2765
12/15/2025,Bulgaria,2007,Nickel and compounds (as Ni),203.3
12/15/2025,Czechia,2011,Mercury and compounds (as Hg),2549.2
12/15/2025,Spain,2013,Sulphur oxides (SOX),169715000
12/15/2025,Romania,2014,Zinc and compounds (as Zn),8647
12/15/2025,Ireland,2012,Mercury and compounds (as Hg),36.3
12/15/2025,Slovakia,2009,Fluorine and inorganic compounds (as HF),24700
12/15/2025,Spain,2021,Sulphur oxides (SOX),59780172
12/15/2025,Switzerland,2017,PCDD + PCDF (dioxins + furans) (as Teq),0.01
12/15/2025,Greece,2008,Fluorine and inorganic compounds (as HF),592130
12/15/2025,Czechia,2011,Chlorine and inorganic compounds (as HCl),959900
12/15/2025,Slovenia,2023,Fluorine and inorganic compounds (as HF),5223
12/15/2025,Estonia,2015,Sulphur oxides (SOX),20508000
12/15/2025,Finland,2024,Cadmium and compounds (as Cd),27
12/15/2025,Sweden,2017,Benzene,127210
12/15/2025,Romania,2017,Ammonia (NH3),21212800
12/15/2025,Czechia,2008,Copper and compounds (as Cu),5954
12/15/2025,Greece,2019,Particulate matter (PM10),2004200
12/15/2025,Austria,2013,Copper and compounds (as Cu),450
12/15/2025,Finland,2007,Chlorine and inorganic compounds (as HCl),1932900
12/15/2025,Spain,2012,Nitrous oxide (N2O),2233100
12/15/2025,Belgium,2014,Sulphur oxides (SOX),27102000
12/15/2025,France,2022,Non-methane volatile organic compounds (NMVOC),36546000
12/15/2025,Netherlands,2012,Hydro-fluorocarbons (HFCS),28462
12/15/2025,Bulgaria,2017,Mercury and compounds (as Hg),932.3
12/15/2025,Belgium,2012,Halons,9267
12/15/2025,Czechia,2017,Carbon monoxide (CO),135658000
12/15/2025,Finland,2020,Carbon dioxide (CO2),42193000000
12/15/2025,Germany,2007,Chlorofluorocarbons (CFCs),4450.97
12/15/2025,Spain,2015,Perfluorocarbons (PFCs),9230
12/15/2025,Spain,2022,Trichloromethane,687
12/15/2025,Spain,2015,Copper and compounds (as Cu),8324
12/15/2025,Norway,2014,Lead and compounds (as Pb),468
12/15/2025,Spain,2011,Particulate matter (PM10),9215400
12/15/2025,Portugal,2020,Carbon monoxide (CO),21272000
12/15/2025,Austria,2015,Polycyclic aromatic hydrocarbons (PAHs),109
12/15/2025,Italy,2011,Arsenic and compounds (as As),705.6
12/15/2025,Netherlands,2013,Non-methane volatile organic compounds (NMVOC),17523000
12/15/2025,France,2022,Arsenic and compounds (as As),184.299999
12/15/2025,Finland,2020,Nitrogen oxides (NOX),35274000
12/15/2025,Hungary,2018,Nitrogen oxides (NOX),14691700
12/15/2025,Spain,2017,Fluorine and inorganic compounds (as HF),708900
12/15/2025,Cyprus,2022,Nickel and compounds (as Ni),5780.2
12/15/2025,Norway,2012,Arsenic and compounds (as As),376.4
12/15/2025,Italy,2017,Copper and compounds (as Cu),2823
12/15/2025,Finland,2023,Zinc and compounds (as Zn),12170
12/15/2025,Finland,2018,Carbon dioxide (CO2),49509000000
12/15/2025,Spain,2008,Hydrogen cyanide (HCN),55806
12/15/2025,Ireland,2024,Hydrochlorofluorocarbons (HCFCs),78.79
12/15/2025,Poland,2007,Arsenic and compounds (as As),3798.6
12/15/2025,Latvia,2018,Non-methane volatile organic compounds (NMVOC),127000
12/15/2025,Czechia,2015,Cadmium and compounds (as Cd),357.2
12/15/2025,Hungary,2018,Carbon dioxide (CO2),20050349000
12/15/2025,Finland,2018,Nitrogen oxides (NOX),45151000
12/15/2025,Ireland,2007,Sulphur oxides (SOX),38427000
12/15/2025,Denmark,2020,Methane (CH4),11742246.98
12/15/2025,Estonia,2020,Methane (CH4),3239000
12/15/2025,Denmark,2021,Cadmium and compounds (as Cd),2.337
12/15/2025,Slovakia,2011,Carbon monoxide (CO),130766000
12/15/2025,Belgium,2017,Hydro-fluorocarbons (HFCS),9728
12/15/2025,Lithuania,2020,Mercury and compounds (as Hg),47.3
12/15/2025,Romania,2017,Carbon dioxide (CO2),37691000000
12/15/2025,Norway,2013,Arsenic and compounds (as As),445.6
12/15/2025,Poland,2020,Fluorine and inorganic compounds (as HF),399150
12/15/2025,Switzerland,2017,Hydrochlorofluorocarbons (HCFCs),14.8
12/15/2025,Bulgaria,2021,Chromium and compounds (as Cr),4412
12/15/2025,Estonia,2021,Cadmium and compounds (as Cd),138.8
12/15/2025,Lithuania,2021,Benzene,40000
12/15/2025,Greece,2009,Cadmium and compounds (as Cd),200.9
12/15/2025,Denmark,2009,Polychlorinated biphenyls (PCBs),1.3
12/15/2025,United Kingdom,2008,Naphthalene,8666
12/15/2025,Sweden,2013,"1,2-dichloroethane (DCE-1,2)",17300
12/15/2025,Netherlands,2009,Trichloroethylene (TRI),17600
12/15/2025,Slovenia,2021,Carbon monoxide (CO),5574118
12/15/2025,Germany,2013,Copper and compounds (as Cu),12692
12/15/2025,Bulgaria,2018,Copper and compounds (as Cu),539.46
12/15/2025,Lithuania,2021,Arsenic and compounds (as As),85.3
12/15/2025,Bulgaria,2021,Carbon dioxide (CO2) excluding biomass,2378999863
12/15/2025,Malta,2021,Methane (CH4),4758000
12/15/2025,France,2024,Particulate matter (PM10),3341700
12/15/2025,Ireland,2013,Mercury and compounds (as Hg),31.2
12/15/2025,Slovenia,2011,Nickel and compounds (as Ni),51
12/15/2025,Austria,2020,Zinc and compounds (as Zn),6830
12/15/2025,Netherlands,2022,Dichloromethane (DCM),63160
12/15/2025,Norway,2014,Vinyl chloride,31930
12/15/2025,Switzerland,2022,Halons,6.76
12/15/2025,Cyprus,2013,Carbon dioxide (CO2),4010000000
12/15/2025,Germany,2015,Polycyclic aromatic hydrocarbons (PAHs),824.7
12/15/2025,Italy,2009,Vinyl chloride,3980
12/15/2025,Switzerland,2019,Zinc and compounds (as Zn),4973.5
12/15/2025,Romania,2024,Methane (CH4),20552000
12/15/2025,Luxembourg,2009,Arsenic and compounds (as As),52.3
12/15/2025,Sweden,2009,Mercury and compounds (as Hg),186.2
12/15/2025,Luxembourg,2008,Chlorine and inorganic compounds (as HCl),34600
12/15/2025,Cyprus,2012,Nitrogen oxides (NOX),12422000
12/15/2025,Lithuania,2022,Chromium and compounds (as Cr),166
12/15/2025,Slovakia,2010,Fluorine and inorganic compounds (as HF),22130
12/15/2025,Germany,2016,Perfluorocarbons (PFCs),12080
12/15/2025,Czechia,2022,Ammonia (NH3),7751692.127
12/15/2025,Austria,2023,Mercury and compounds (as Hg),360.2
12/15/2025,Luxembourg,2010,Copper and compounds (as Cu),213
12/15/2025,Cyprus,2012,Carbon dioxide (CO2),4355000000
12/15/2025,Slovenia,2016,Methane (CH4),12636000
12/15/2025,Belgium,2007,Non-methane volatile organic compounds (NMVOC),38452000
12/15/2025,Czechia,2019,Non-methane volatile organic compounds (NMVOC),4492917.83
12/15/2025,Czechia,2019,Arsenic and compounds (as As),2561.078744
12/15/2025,United Kingdom,2008,Tetrachloromethane (TCM),15121
12/15/2025,Finland,2011,Copper and compounds (as Cu),4576
12/15/2025,Netherlands,2014,Nickel and compounds (as Ni),864
12/15/2025,Bulgaria,2009,Particulate matter (PM10),15791200
12/15/2025,Bulgaria,2010,Particulate matter (PM10),6798500
12/15/2025,Hungary,2016,Methane (CH4),2232000
12/15/2025,Denmark,2022,Hydrochlorofluorocarbons (HCFCs),36.1
12/15/2025,Belgium,2007,Tetrachloroethylene,257880
12/15/2025,Latvia,2010,Particulate matter (PM10),1243400
12/15/2025,Slovakia,2014,Mercury and compounds (as Hg),207.9
12/15/2025,Czechia,2022,Carbon dioxide (CO2),57787024109
12/15/2025,Spain,2007,Trichloromethane,12169
12/15/2025,Norway,2007,Mercury and compounds (as Hg),158.6
12/15/2025,Ireland,2010,Non-methane volatile organic compounds (NMVOC),2777000
12/15/2025,Cyprus,2020,Copper and compounds (as Cu),108
12/15/2025,Portugal,2024,Trichloromethane,20720
12/15/2025,Austria,2018,Hydrogen cyanide (HCN),846
12/15/2025,Greece,2021,Non-methane volatile organic compounds (NMVOC),6584250
12/15/2025,Italy,2007,Trichloroethylene (TRI),3180
12/15/2025,Belgium,2010,"Benzo(g,h,i)perylene",842.408214
12/15/2025,Belgium,2022,Lead and compounds (as Pb),3151
